date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:42	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202019%2002:15:34%20GMT	http://demo3.skyvietnam.vn/robots.txt		(from )
09:16:42	80975/80975	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202019%2002:15:34%20GMT	http://demo3.skyvietnam.vn/M001/	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/index.html	(from )
09:16:43	5946/5946	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Feb%202017%2003:23:16%20GMT	http://demo3.skyvietnam.vn/M001/upload/files/favicon.png	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/upload/files/favicon.png	(from http://demo3.skyvietnam.vn/M001/)
09:16:43	150996/150996	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202017%2001:27:22%20GMT	http://demo3.skyvietnam.vn/M001/skin/frontend/css/bootstrap.min.css	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/skin/frontend/css/bootstrap.min.css	(from http://demo3.skyvietnam.vn/M001/)
09:16:44	1476/1476	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20May%202014%2016:56:20%20GMT	http://demo3.skyvietnam.vn/M001/skin/frontend/css/owl.carousel.css	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/skin/frontend/css/owl.carousel.css	(from http://demo3.skyvietnam.vn/M001/)
09:16:44	1665/1665	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20May%202014%2016:56:24%20GMT	http://demo3.skyvietnam.vn/M001/skin/frontend/css/owl.theme.css	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/skin/frontend/css/owl.theme.css	(from http://demo3.skyvietnam.vn/M001/)
09:16:44	31000/31000	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Dec%202016%2008:50:34%20GMT	http://demo3.skyvietnam.vn/M001/skin/frontend/font-awesome/css/font-awesome.min.css	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/skin/frontend/font-awesome/css/font-awesome.min.css	(from http://demo3.skyvietnam.vn/M001/)
09:16:44	32415/32415	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Jun%202017%2007:35:27%20GMT	http://demo3.skyvietnam.vn/M001/skin/frontend/css/style.css	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/skin/frontend/css/style.css	(from http://demo3.skyvietnam.vn/M001/)
09:16:44	49620/49620	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Jun%202017%2007:36:50%20GMT	http://demo3.skyvietnam.vn/M001/skin/frontend/css/add.css	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/skin/frontend/css/add.css	(from http://demo3.skyvietnam.vn/M001/)
09:16:45	5499/5499	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Jun%202017%2007:39:04%20GMT	http://demo3.skyvietnam.vn/M001/skin/frontend/css/responsive.css	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/skin/frontend/css/responsive.css	(from http://demo3.skyvietnam.vn/M001/)
